Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753421586860942, cell_y1=-8158, cell_y2=-6800, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753297077929731, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753297270329145, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753297434600500, cell_y1=8138, cell_y2=9496, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753297496448775, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Niklas Waelzlein, ts=10753297521087247, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753297603582109, cell_y1=-8158, cell_y2=-6800, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Christopher Lee, ts=10753297701628669, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753298032571028, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753298126319565, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753298276357700, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753298287651376, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753298606293270, cell_y1=-9516, cell_y2=-8158, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753298684541989, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753298686772670, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=21320, cell_x2=22960, playerName=Christopher Lee, ts=10753298697299206, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753298793479424, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753299470661264, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Erik Engelhardt, ts=10753299758436069, cell_y1=-6800, cell_y2=-5442, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Ben Mueller, ts=10753299990679119, cell_y1=8138, cell_y2=9496, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753300128500903, cell_y1=-10, cell_y2=1348, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753300286628772, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753300448216920, cell_y1=-16306, cell_y2=-14948, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753300475431682, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leon Krapf, ts=10753300707023415, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753300794802839, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Ben Mueller, ts=10753300951795868, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753301058917636, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753301106163492, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leon Krapf, ts=10753301227226715, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753301336462057, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753301536147189, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753301642899709, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753301646083633, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753302045956619, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753302155296910, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753302195555625, cell_y1=-8158, cell_y2=-6800, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Niklas Waelzlein, ts=10753302321056750, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753302362579422, cell_y1=8138, cell_y2=9496, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753302408413889, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753302603528097, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Christopher Lee, ts=10753302645606742, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753303022290846, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753303180376212, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753303262729393, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753303395286895, cell_y1=-9516, cell_y2=-8158, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753303396634322, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=21320, cell_x2=22960, playerName=Christopher Lee, ts=10753303441321046, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753303460456571, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753303575513379, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753304201627501, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Erik Engelhardt, ts=10753304611404573, cell_y1=-6800, cell_y2=-5442, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Ben Mueller, ts=10753304907667201, cell_y1=8138, cell_y2=9496, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753305083466090, cell_y1=-10, cell_y2=1348, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753305110396771, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753305150601921, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753305269191021, cell_y1=-16306, cell_y2=-14948, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leon Krapf, ts=10753305828944665, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Ben Mueller, ts=10753305874763952, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753305890890572, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753305922820032, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753305933139788, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753305944438041, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leon Krapf, ts=10753306107189692, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753306282879966, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753306304116044, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753306608027406, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753306787528763, cell_y1=-8158, cell_y2=-6800, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753307013983340, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753307040264559, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Niklas Waelzlein, ts=10753307121026657, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753307174483659, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753307290558583, cell_y1=8138, cell_y2=9496, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753307320378168, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Christopher Lee, ts=10753307589586245, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753307838687208, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753307918262475, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753308084394317, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753308127433047, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753308184279934, cell_y1=-9516, cell_y2=-8158, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=21320, cell_x2=22960, playerName=Christopher Lee, ts=10753308185343292, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753308466483634, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753308505617813, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753308932592877, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Erik Engelhardt, ts=10753309464373028, cell_y1=-6800, cell_y2=-5442, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753309745360605, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Ben Mueller, ts=10753309824656105, cell_y1=8138, cell_y2=9496, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=27880, cell_x2=29520, playerName=Sandro Schneider, ts=10753310014575053, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753310038431109, cell_y1=-10, cell_y2=1348, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753310090166005, cell_y1=-16306, cell_y2=-14948, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753310552414722, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753310722864110, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753310760116384, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Ben Mueller, ts=10753310797732995, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753310922859467, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leon Krapf, ts=10753310950866447, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leon Krapf, ts=10753310987151844, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753311050838436, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753311072084089, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753311379501952, cell_y1=-8158, cell_y2=-6800, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753311569971752, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753311745440141, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Niklas Waelzlein, ts=10753311920996719, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753311925232420, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753311982009470, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753312218537837, cell_y1=8138, cell_y2=9496, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753312232342786, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753312414644407, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Christopher Lee, ts=10753312533564375, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753312794409483, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753312814234195, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=21320, cell_x2=22960, playerName=Christopher Lee, ts=10753312929365139, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753312973272569, cell_y1=-9516, cell_y2=-8158, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753312988412882, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753313357455202, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753313614600765, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753313663559568, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
{cell_x1=22960, cell_x2=24600, playerName=Christopher Lee, ts=10753312929365139, cell_y1=10854, cell_y2=12212, timeInGame=0.0, percent_time_in_time_cell=9.276475506666665E-4}
{cell_x1=21320, cell_x2=22960, playerName=Christopher Lee, ts=10753312533564375, cell_y1=10854, cell_y2=12212, timeInGame=0.0, percent_time_in_time_cell=0.004148264606}
{cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753312973272569, cell_y1=-8158, cell_y2=-6800, timeInGame=0.0, percent_time_in_time_cell=0.001730988073}
{cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753311379501952, cell_y1=-9516, cell_y2=-8158, timeInGame=0.0, percent_time_in_time_cell=0.003392242080333333}
{cell_x1=22960, cell_x2=24600, playerName=Erik Engelhardt, ts=10753309464373028, cell_y1=-6800, cell_y2=-5442, timeInGame=0.0, percent_time_in_time_cell=0.0032353123196666666}
{cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753312814234195, cell_y1=5422, cell_y2=6780, timeInGame=0.0, percent_time_in_time_cell=0.004895971543333333}
{cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753311982009470, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, percent_time_in_time_cell=0.005071276956666667}
{cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753310038431109, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, percent_time_in_time_cell=0.0034373822096666674}
{cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753311569971752, cell_y1=-10, cell_y2=1348, timeInGame=0.0, percent_time_in_time_cell=0.001524561563}
{cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753311925232420, cell_y1=27150, cell_y2=28508, timeInGame=0.0, percent_time_in_time_cell=0.004397536868999999}
{cell_x1=26240, cell_x2=27880, playerName=Leon Krapf, ts=10753311050838436, cell_y1=27150, cell_y2=28508, timeInGame=0.0, percent_time_in_time_cell=0.001021945485}
{cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753312232342786, cell_y1=10854, cell_y2=12212, timeInGame=0.0, percent_time_in_time_cell=0.004911964670333333}
{cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753312414644407, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, percent_time_in_time_cell=0.004794024459666667}
{cell_x1=31160, cell_x2=32800, playerName=Niklas Waelzlein, ts=10753311920996719, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, percent_time_in_time_cell=0.0047999698240000005}
{cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753310760116384, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, percent_time_in_time_cell=0.004844390770333334}
{cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753310922859467, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, percent_time_in_time_cell=0.005027464019333334}
{cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753310014575053, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, percent_time_in_time_cell=0.0037403652096666662}
{cell_x1=27880, cell_x2=29520, playerName=Sandro Schneider, ts=10753312794409483, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, percent_time_in_time_cell=9.266114766666667E-4}
{cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753308932592877, cell_y1=8138, cell_y2=9496, timeInGame=0.0, percent_time_in_time_cell=0.0018390477123333333}
{cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753312218537837, cell_y1=6780, cell_y2=8138, timeInGame=0.0, percent_time_in_time_cell=0.0030889314}
{cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753310552414722, cell_y1=-16306, cell_y2=-14948, timeInGame=0.0, percent_time_in_time_cell=0.0010423279083333333}
{cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753310090166005, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, percent_time_in_time_cell=0.003932729477666666}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Erik Engelhardt, ts=10753314317341443, cell_y1=-6800, cell_y2=-5442, timeInGame=0.0, resolution=32X50}
{cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753311982009470, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, percent_time_in_time_cell=0.0025356384783333337}
{cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753310038431109, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, percent_time_in_time_cell=0.0017186911048333337}
{cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753311569971752, cell_y1=-10, cell_y2=1348, timeInGame=0.0, percent_time_in_time_cell=7.622807815E-4}
{cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753311925232420, cell_y1=27150, cell_y2=28508, timeInGame=0.0, percent_time_in_time_cell=0.0021987684344999996}
{cell_x1=26240, cell_x2=27880, playerName=Leon Krapf, ts=10753311050838436, cell_y1=27150, cell_y2=28508, timeInGame=0.0, percent_time_in_time_cell=5.109727425E-4}
{cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753312232342786, cell_y1=10854, cell_y2=12212, timeInGame=0.0, percent_time_in_time_cell=0.0024559823351666663}
{cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753312414644407, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, percent_time_in_time_cell=0.0023970122298333334}
